level,source_id,route_family,score_id,K,primary_success_family,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I4_calibrated_route_aware_source_x_Ce,20,False,548,497,1521,149,0.09796186719263643,10906,19.901459854014597,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I4_calibrated_route_aware_source_x_Ce,50,False,548,497,1521,591,0.388560157790927,26518,48.39051094890511,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,I4_calibrated_route_aware_source_x_Ce,100,False,548,497,1521,1334,0.8770545693622617,49078,89.55839416058394,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S0_source_score,5,False,548,497,1521,385,0.25312294543063774,2740,5.0,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S0_source_score,10,False,548,497,1521,634,0.4168310322156476,5472,9.985401459854014,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S0_source_score,20,False,548,497,1521,983,0.646285338593031,10906,19.901459854014597,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S0_source_score,50,False,548,497,1521,1302,0.8560157790927022,26518,48.39051094890511,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S0_source_score,100,False,548,497,1521,1422,0.9349112426035503,49078,89.55839416058394,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S2_current_source_x_Ce,5,False,548,497,1521,54,0.03550295857988166,2740,5.0,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S2_current_source_x_Ce,10,False,548,497,1521,131,0.0861275476660092,5472,9.985401459854014,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S2_current_source_x_Ce,20,False,548,497,1521,308,0.2024983563445102,10906,19.901459854014597,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S2_current_source_x_Ce,50,False,548,497,1521,936,0.6153846153846154,26518,48.39051094890511,0,0,
source_family,open3dsg_recovery_relaxed_views_min2,support_contact,S2_current_source_x_Ce,100,False,548,497,1521,1394,0.9165023011176857,49078,89.55839416058394,0,0,
source_family,vlsat_full_validation,proximity,I1_hardneg_structured_source_x_Ce,5,False,548,386,1766,1070,0.6058890147225368,2740,5.0,2740,22,0.008029197080291971
source_family,vlsat_full_validation,proximity,I1_hardneg_structured_source_x_Ce,10,False,548,386,1766,1434,0.812004530011325,5480,10.0,5480,143,0.026094890510948904
source_family,vlsat_full_validation,proximity,I1_hardneg_structured_source_x_Ce,20,False,548,386,1766,1615,0.9144960362400906,10960,20.0,10960,791,0.07217153284671533
