level,route_family,predicate_label,view_id,rows,positive,negative,auroc,auprc,balanced_accuracy,macro_F1,Brier,NLL,tp,fp,tn,fn
predicate,support_contact,standing on,C5_subject_object_swap,1589,1357,232,0.22806711051254033,0.7633932843246017,0.43969646532665874,0.16733028098598748,0.3639652205259607,0.9373720971123314,82,42,190,1275
predicate,relative_horizontal,behind,C6_sign_flip,4691,1024,3667,0.3304235303892828,0.16391168086177288,0.33269596229888193,0.32102369490780913,0.46586870974183403,1.6777116017978917,296,2287,1380,728
predicate,size_relative,bigger than,C6_sign_flip,170,85,85,0.0004152249134948097,0.30979174746049243,0.011764705882352941,0.01176470588235294,0.6073345840257995,1.6531282486827306,1,84,1,84
predicate,relative_horizontal,front,C6_sign_flip,4691,1024,3667,0.33041367688164713,0.16390939364648066,0.3289906439613444,0.3248739171790116,0.45586771325097325,1.6362179936115324,263,2196,1471,761
predicate,relative_vertical,higher than,C6_sign_flip,390,195,195,0.04310322156476003,0.3111791730034187,0.15128205128205127,0.1327569179918173,0.434538742474951,1.2406810944441808,58,194,1,137
predicate,relative_horizontal,left,C6_sign_flip,4691,1713,2978,0.231183181431294,0.24454127627571354,0.26075909069702435,0.2546915906171607,0.5444552439231043,2.02802009552876,470,2242,736,1243
predicate,relative_vertical,lower than,C6_sign_flip,390,195,195,0.03789612097304405,0.3122571820962359,0.17435897435897435,0.15001624431448993,0.45139225498289565,1.315565967010402,1,128,67,194
predicate,support_contact,lying on,C6_sign_flip,1589,232,1357,0.26143178410794604,0.09331780947224996,0.4177619876502427,0.20387029417134916,0.3566138531380906,0.9231325958601712,167,1200,157,65
predicate,relative_horizontal,right,C6_sign_flip,4691,1713,2978,0.2311727919512502,0.24453895395034947,0.2693862796918598,0.27314827360268923,0.523690811445984,1.9482908780624115,350,1982,996,1363
predicate,size_relative,smaller than,C6_sign_flip,170,85,85,0.0004152249134948097,0.30979174746049243,0.011764705882352941,0.01176470588235294,0.6073374895289195,1.6530517949194912,1,84,1,84
