source,condition,k,selected,satisfied,uncertain,violated,other_or_missing,violation_all,violation_all_ci95_low,violation_all_ci95_high,violation_decidable,violation_decidable_ci95_low,violation_decidable_ci95_high,uncertainty_rate,uncertainty_rate_ci95_low,uncertainty_rate_ci95_high,decidable_coverage,decidable_coverage_ci95_low,decidable_coverage_ci95_high,pessimistic_violation,pessimistic_violation_ci95_low,pessimistic_violation_ci95_high,status_coverage,status_coverage_ci95_low,status_coverage_ci95_high
open3dsg_ov_recovery,geometry_only_family,10,5480,4685,748,47,0,0.008576642335766424,0.0056569343065693434,0.011861313868613138,0.009932375316990701,0.006568495288785338,0.0137947867681761,0.1364963503649635,0.12371806569343066,0.15091697080291971,0.8635036496350365,0.8490830291970803,0.8762819343065693,0.14507299270072993,0.13193430656934307,0.16076642335766422,1.0,1.0,1.0
open3dsg_ov_recovery,geometry_only_family,20,10944,9331,1471,142,0,0.012975146198830409,0.009854014598540146,0.015899413573711163,0.014989971497941517,0.011351388703361496,0.0184075980467876,0.13441154970760233,0.12454344568277723,0.14667154352596928,0.8655884502923976,0.8533284564740308,0.8754565543172228,0.14738669590643275,0.13603786496350365,0.16003677354629106,1.0,1.0,1.0
open3dsg_ov_recovery,geometry_only_family,50,27142,22264,4264,614,0,0.022621767003168522,0.01983498272000576,0.02565742170929828,0.026838010315587028,0.023482995360032125,0.03047393118933602,0.15709969788519637,0.1489922207109208,0.16533897693658162,0.8429003021148036,0.8346610230634184,0.8510077792890792,0.1797214648883649,0.1709027202141504,0.18874685949040335,1.0,1.0,1.0
open3dsg_ov_recovery,geometry_only_family,100,53036,39850,11419,1767,0,0.03331699223169168,0.030090101262401903,0.03656346032349149,0.042458610663911385,0.03810614650182228,0.046858956812747356,0.21530658420695375,0.20595932197845337,0.22530687150331458,0.7846934157930462,0.7746931284966854,0.7940406780215467,0.24862357643864544,0.237450366392918,0.2597740499012217,1.0,1.0,1.0
open3dsg_ov_recovery,rank_average_fusion,5,2740,2208,431,101,0,0.03686131386861314,0.027737226277372264,0.04635036496350365,0.04374187960155912,0.0329779602671537,0.055028299376356116,0.15729927007299271,0.13905109489051096,0.17446167883211677,0.8427007299270073,0.8255383211678832,0.8609489051094891,0.19416058394160585,0.17408759124087592,0.21424270072992702,1.0,1.0,1.0
open3dsg_ov_recovery,rank_average_fusion,10,5480,4235,992,253,0,0.046167883211678834,0.03849908759124088,0.05364963503649635,0.056372549019607844,0.04652157937443544,0.06510865502249133,0.181021897810219,0.16750456204379563,0.19398266423357663,0.8189781021897811,0.8060173357664233,0.8324954379562044,0.2271897810218978,0.21021897810218979,0.24324817518248176,1.0,1.0,1.0
open3dsg_ov_recovery,rank_average_fusion,20,10944,8401,2061,482,0,0.044042397660818716,0.03853089834580424,0.04916115611594873,0.05426094787796915,0.0471346286729001,0.06058035499730306,0.18832236842105263,0.17702942534934507,0.19859386413440466,0.8116776315789473,0.8014061358655953,0.8229705746506548,0.23236476608187134,0.2199767635148089,0.24370860621052012,1.0,1.0,1.0
open3dsg_ov_recovery,rank_average_fusion,50,27142,20190,5846,1106,0,0.04074865522069118,0.037232905784160525,0.044062465111966195,0.05193463561232156,0.0474025796663792,0.05622978982100944,0.21538574902365337,0.2065725661182375,0.22414391694744862,0.7846142509763466,0.7758560830525514,0.7934274338817625,0.2561344042443446,0.24652620131530506,0.2653029943206894,1.0,1.0,1.0
open3dsg_ov_recovery,rank_average_fusion,100,53036,35181,15032,2823,0,0.05322799607813561,0.05012206701124734,0.0565198894072764,0.07428165456267762,0.06952743534748693,0.07892140943447513,0.2834301229353647,0.2756224975655167,0.2919358808247678,0.7165698770646354,0.7080641191752323,0.7243775024344833,0.3366581190135003,0.32777382296758645,0.3459236314870281,1.0,1.0,1.0
open3dsg_ov_recovery,reciprocal_rank_fusion,5,2740,2181,467,92,0,0.033576642335766425,0.025182481751824817,0.042335766423357665,0.040475142982842056,0.030143838674045798,0.05112409295664632,0.17043795620437957,0.15364963503649634,0.18686131386861313,0.8295620437956205,0.8131386861313868,0.8463503649635037,0.20401459854014597,0.18502737226277371,0.2237226277372263,1.0,1.0,1.0
open3dsg_ov_recovery,reciprocal_rank_fusion,10,5480,4240,1015,225,0,0.04105839416058394,0.034306569343065696,0.04781478102189781,0.05039193729003359,0.04205140944005439,0.0585595643328645,0.1852189781021898,0.17171076642335767,0.19799726277372262,0.8147810218978102,0.8020027372262774,0.8282892335766423,0.22627737226277372,0.21076186131386862,0.2416058394160584,1.0,1.0,1.0
open3dsg_ov_recovery,reciprocal_rank_fusion,20,10944,7980,2266,698,0,0.06377923976608187,0.057663879567387326,0.06998229953724978,0.08043327955750172,0.0726722046047524,0.08798339779991449,0.20705409356725146,0.19658412246261198,0.2169989027066569,0.7929459064327485,0.7830010972933431,0.8034158775373881,0.2708333333333333,0.25869899822602527,0.2827674860572744,1.0,1.0,1.0
open3dsg_ov_recovery,reciprocal_rank_fusion,50,27142,18756,5818,2568,0,0.09461351411097192,0.09026752936319686,0.09878660650580727,0.12042768711311198,0.11497299572385918,0.12590150936300593,0.21435413749907892,0.20695509917788935,0.22203630362593454,0.785645862500921,0.7779636963740655,0.7930449008221107,0.30896765161005085,0.3008452445024201,0.316861270095785,1.0,1.0,1.0
open3dsg_ov_recovery,reciprocal_rank_fusion,100,53036,33895,14959,4182,0,0.07885210046006486,0.0756192557000275,0.08211414392010069,0.1098300811513512,0.10518717933284798,0.11441906982967448,0.2820536993740101,0.27475864467175576,0.28997620000443985,0.7179463006259899,0.7100237999955602,0.7252413553282442,0.36090579983407495,0.3527700589831932,0.36862405603797926,1.0,1.0,1.0
sgfn_official_full_l160,semantic_only,5,2740,1881,794,65,0,0.023722627737226276,0.017874087591240876,0.029927007299270073,0.03340184994861254,0.024806201550387597,0.04214282222194762,0.28978102189781024,0.270793795620438,0.3094890510948905,0.7102189781021898,0.6905109489051094,0.7292062043795621,0.3135036496350365,0.2934306569343066,0.333220802919708,1.0,1.0,1.0
