level,source_id,route_family,comparison,primary_score,baseline_score,metric,K,point_delta,ci_low_95,ci_high_95,n_bootstrap,unit_count
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,5,0.01020408163265306,0.0,0.037505896226415085,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,5,-0.01020408163265306,-0.0375,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,5,-0.04081632653061225,-0.09381853070175439,0.011919642857142842,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Recall@K,5,0.01020408163265306,0.0,0.037505896226415085,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Recall@K,5,0.01020408163265306,0.0,0.037505896226415085,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Violation@K,5,-0.2658875091307524,-0.28216772070790563,-0.24780335342697932,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Violation@K,5,-0.16362308254200145,-0.17922552750070575,-0.14870160167474744,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Violation@K,5,-0.3287070854638422,-0.3507517198031172,-0.30667847234991724,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Violation@K,5,-0.4130752373995617,-0.43149952774961414,-0.3949543769297346,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C2_source_x_wrong_T_Ce,S2_source_x_Ce,C2_source_x_wrong_T_Ce,Violation@K,5,-0.9967129291453616,-1.0,-0.9919561243144424,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S1_Ce_only,S2_source_x_Ce,S1_Ce_only,Violation@K,5,0.0,0.0,0.0,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_S0_source_score,S2_source_x_Ce,S0_source_score,Recall@K,10,0.010204081632653045,-0.10526315789473685,0.11460336538461538,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A1_source_x_G_only,S2_source_x_Ce,A1_source_x_G_only,Recall@K,10,0.13265306122448978,0.03946723426212591,0.24327327327327325,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_A2_source_x_TG_concat,S2_source_x_Ce,A2_source_x_TG_concat,Recall@K,10,0.05102040816326529,-0.04083758503401361,0.14584603658536585,1000,548
source_family,open3dsg_recovery_relaxed_views_min2,size_relative,S2_source_x_Ce_minus_C1_source_x_shuffled_Ce,S2_source_x_Ce,C1_source_x_shuffled_Ce,Recall@K,10,0.030612244897959176,-0.056460777126099704,0.1276595744680851,1000,548
