audit_id,sufficient,subject_points,object_points,scale_m,center_dz_m,center_dz_norm,bbox_gap_m,bbox_gap_norm,xy_overlap_ratio,local_object_points,local_vertical_gap_m,local_vertical_gap_norm,subject_vertical_aspect
PV-0123,True,402,1296,2.6154448520679967,1.66622,0.6370694448718895,0.24,0.09176259243632504,0.6617305345438177,273,0.23771200000000015,0.09088778905509878,2.406861666003138
PV-0124,True,1800,81,0.7376189844187285,0.86,1.1659135924731008,0.58281835,0.7901346932648199,1.0,81,0.58281835,0.7901346932648199,0.6882693604651163
PV-0125,True,1800,267,1.664122234948482,1.34,0.80522931059898,1.117335107519191,0.6714261032356085,0.0,0,,,1.7230769230769234
PV-0126,True,350,1295,1.8755567179149113,-0.165101,-0.08802772980576436,0.0,0.0,0.07063730500125595,162,-0.46521385000000004,-0.24804040611322398,0.39693039702100996
PV-0127,True,160,69,0.2949581516169299,0.8000000000000002,2.712249163532126,0.6297506426435189,2.135050817179628,0.0,0,,,0.8494860118084774
PV-0128,True,61,1800,1.9001190330959556,0.07581999999999978,0.039902763289762215,0.1646835000000002,0.08667009652109711,0.0,55,-0.1259999999999999,-0.06631163511619691,1.7142857142857155
PV-0129,True,1800,422,0.996747944426988,0.636294,0.6383700147641576,0.10008109707843194,0.10040762826550569,0.0,0,,,1.8677873390701092
PV-0130,True,1800,1800,4.599618278195445,1.299898,0.28260997356284645,0.04881869999999999,0.010613641621398395,0.6479766056445249,1655,0.04881869999999999,0.010613641621398395,0.015038616822024642
PV-0131,True,1800,1525,3.5093828364769313,-1.0197175,-0.29056889701543487,0.0,0.0,0.9787982065230072,1163,-2.281434,-0.6500955029147891,0.9999999999999998
PV-0132,True,892,1065,1.3264577000135362,0.09999999999999998,0.07538875909799422,0.12,0.09046651091759308,0.0,19,-0.6,-0.45233255458796545,3.9413373298169487
PV-0133,True,1620,873,1.4968575211311168,-0.15078100000000005,-0.10073169815525311,0.9545424851561086,0.6376976243101602,0.0,0,,,0.44625759649725116
PV-0134,True,976,949,0.7858207380479258,-4.599999999999049e-05,-5.8537523601451495e-05,0.82008175,1.0435990172990124,0.0,0,,,0.9983214408212764
PV-0135,True,1724,1800,2.486195002666537,1.2252125,0.49280627572894076,0.24743700000000057,0.09952437348422595,0.0,60,-0.861,-0.3463123363519536,1.016260162601626
PV-0136,True,250,832,0.6798232265853961,0.38,0.5589688394564822,0.18981025,0.2792053030511704,0.0,0,,,1.2628663726723308
PV-0137,True,492,569,0.4268178999215091,1.16,2.717786672520814,0.999066,2.3407312584212754,0.9332730769230769,561,0.998038,2.338322737128731,0.8841046380234662
PV-0138,True,1370,1397,2.450527470807557,-0.12,-0.04896904908413644,2.9842681787004066,1.2178064576917222,0.0,0,,,3.059833353591099
PV-0139,True,563,1697,1.2356311734013694,1.314536,1.0638579118892137,1.170634014389677,0.9473976050371308,0.0,0,,,0.5723252983293557
PV-0140,True,403,1800,1.27123507652857,-0.32,-0.25172370233351427,0.0,0.0,0.0,146,-0.9528822499999999,-0.7495720245559041,3.5435176489350395
PV-0141,True,1025,210,0.7687748173262001,-0.505502,-0.6575423499928583,0.2592589999999999,0.337236592766791,0.0,0,,,0.978037706333356
PV-0142,True,1800,1035,2.6682539192280226,0.710414,0.266246774671856,0.04934375000000013,0.018492898912063148,0.6773152088970472,909,0.04614415000000016,0.017293762661595023,0.7380018577981653
PV-0143,True,108,224,0.5056785712283428,0.08000000000000007,0.15820326300494053,0.3060809,0.6052874640436107,0.0,0,,,0.78789223942098
PV-0144,True,1800,1800,1.5535149552196441,-0.71619,-0.46101262018346084,0.6653845000000009,0.42830904058205566,0.0,0,,,0.4031349553571429
PV-0145,True,444,1800,2.895176445961125,1.0528749999999998,0.3636652271984314,0.9537133741376388,0.3294145942186367,0.0,16,0.51,0.17615506671846143,0.6493787609853241
PV-0146,True,1800,244,4.20419257193615,-0.36984499999999987,-0.08797051839841764,0.17999999999999994,0.04281440417395173,0.23076923076922942,244,-0.5120975,-0.12180638523039028,0.03292928116752058
PV-0147,True,1800,234,1.7759151908336706,-0.5599999999999999,-0.31533037325792473,0.45999999999999996,0.25902137803329534,0.0,0,,,2.566239456521738
PV-0148,True,204,1010,1.2880361528386848,1.88,1.4595863601007584,2.9614339944835,2.2991854599397983,0.0,0,,,0.24526198439241917
PV-0149,True,1688,660,1.6963249827546691,-1.9816200000000002,-1.1681841746986708,1.9123839999999999,1.1273688824027526,1.0,660,-2.259825,-1.3321887155904886,0.04067754505635557
PV-0150,True,1800,1800,1.310530170026698,1.4,1.0682699506044024,0.6183361273833674,0.47182136018339105,0.0,0,,,0.894855861661469
PV-0151,True,231,225,0.9898104987159442,0.542331,0.5479139701019055,2.5056767306425,2.5314711592704366,0.0,0,,,0.1905809127288373
PV-0152,True,1773,1800,1.1547969122202237,0.834163,0.7223460603096263,0.21055999999999986,0.18233509093401987,0.0,0,,,2.7732128184059164
PV-0153,True,1016,370,0.9497134128234972,-1.06,-1.1161261762626062,2.694586346687039,2.837262599752104,0.0,0,,,0.5881719696969695
PV-0154,True,1800,122,2.2471516148507873,0.96,0.427207489541708,0.14989618169524027,0.0667049702853243,0.0,27,0.08502939999999992,0.037838746365872575,0.3385508829347516
PV-0155,True,1512,1800,3.9377608600471348,0.525955,0.1335670241777212,0.038966499999999904,0.009895598383171871,1.0,303,-0.003166000000000002,-0.0008040102262487584,0.9470463885165333
PV-0156,True,1800,266,4.3283582345923115,-1.48,-0.3419310324574836,1.5897825484185721,0.367294586597062,0.0,0,,,0.019178082191780837
PV-0157,True,383,129,0.7852311617985007,1.7200000000000002,2.190437776387397,1.2081033469381832,1.5385320982054917,0.0,104,1.2,1.5282124021307417,0.7629931373006156
PV-0158,True,93,652,0.45513797772568654,-0.14966649999999992,-0.32883764336230475,0.24000188653958557,0.5273167660911735,0.0,0,,,0.26357510091503994
PV-0159,True,281,1148,1.4536183834006282,-0.36,-0.24765784755542766,0.0,0.0,1.0,455,-1.61807,-1.1131325927611413,5.401390858145941
PV-0160,True,189,148,0.7267722372560972,-0.040000000000000036,-0.055037875622517746,3.343248425885968,4.600132275977249,0.0,0,,,1.0406944270085676
PV-0161,True,36,47,0.25,0.3616365,1.446546,0.32984079922592946,1.3193631969037178,0.0,0,,,1.1772625000000023
PV-0162,True,91,1080,1.0825568281879938,-0.12,-0.11084868422183296,2.246399,2.0750864448936777,0.0,0,,,0.5526990392846951
PV-0163,True,115,1800,3.2848177024945584,1.354285,0.41228619748716283,1.2375402,0.3767454732907054,1.0,11,1.2596452,0.383474918271233,1.086981046662615
PV-0164,True,478,1800,2.8517885835565044,-1.145275,-0.40159884452995176,0.5700263,0.1998837863671901,0.958334114568686,422,-2.5403841999999996,-0.890803832601031,0.9923861428570196
PV-0165,True,1800,1800,6.170380023431812,0.781935,0.1267239614141476,0.0,0.0,0.85348506401138,188,-0.001954999999999929,-0.00031683623902837134,0.6139217905405405
PV-0166,True,110,1800,3.37253491852116,1.54279,0.45745708710897676,1.3333771219936241,0.3953634741247701,0.0,37,1.3399999999999999,0.3973272426746535,0.9999999999999991
PV-0167,True,647,137,0.8724523885347936,1.64,1.8797587370403495,1.8520818149984197,2.1228457155224563,0.0,0,,,0.548929435121116
PV-0168,True,177,1489,0.8464645667661814,-0.74,-0.8742244259875912,2.071554284913046,2.44730183193276,0.0,0,,,0.4584205619476684
PV-0169,True,800,559,1.5162979907745748,-1.6800000000000002,-1.1079616343366656,1.093536693395009,0.7211885131077662,0.0,0,,,2.007856743413022
PV-0170,True,528,1800,3.6108674263364797,1.417215,0.3924860241789271,0.9737063254642029,0.26965994884284844,0.0,24,0.8270000000000001,0.22903084006023983,0.7833333333333332
PV-0171,True,1188,407,1.4451569035078535,-0.98,-0.6781270584676512,0.0,0.0,1.0,407,-2.12,-1.4669687387259396,2.4639873975582764
PV-0172,True,184,608,0.5416768132937271,1.24,2.2891878876262766,0.92,1.69842972307756,0.42888569959245937,282,0.9,1.6615073377932652,1.0838621619946984
PV-0173,True,1800,212,4.0750434470946395,-0.8126129999999999,-0.19941210702412607,0.4,0.09815846265030272,1.0,212,-0.9864003,-0.24205884251449347,0.024428189559110226
PV-0174,True,1800,1800,5.128869846873161,1.316865,0.25675539432977285,0.26,0.050693429110608104,0.6272655223420595,594,0.2606010000000001,0.05081060892174456,0.6594202898550725
